,Deaths_state
0,Guam
1,Northern Mariana Islands
2,Puerto Rico
3,Virgin Islands
4,District of Columbia
5,Alabama
6,Alaska
7,Arizona
8,Arkansas
9,California
10,Colorado
11,Connecticut
12,Delaware
13,Florida
14,Hawaii
15,Idaho
16,Iowa
17,Kansas
18,Louisiana
19,Maine
20,Maryland
21,Massachusetts
22,Mississippi
23,Missouri
24,Montana
25,Nebraska
26,Nevada
27,New Hampshire
28,New Jersey
29,New Mexico
30,New York
31,North Carolina
32,North Dakota
33,Oklahoma
34,Oregon
35,Pennsylvania
36,Rhode Island
37,South Carolina
38,South Dakota
39,Tennessee
40,Texas
41,Utah
42,Vermont
43,Virginia
44,Washington
45,West Virginia
46,Wyoming
47,Illinois
48,Indiana
49,Kentucky
50,Michigan
51,Minnesota
52,Ohio
53,Wisconsin
54,Georgia
55,American Samoa
